id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5613160,Double Bedroom+Private Bathroom!,11181165,Loren & Dani,,Islington,51.55828399215334,-0.0918369125049938,Private room,60,1,0,,,2,102
700572,"Arty Room,Ensuite Bathroom,KingsX",3538428,Andrew,,Islington,51.53275712545597,-0.11314417246621578,Private room,70,3,118,2015-04-03,3.9,1,319
4414794,A real home from home,4024571,Lottie,,Hackney,51.5604623170873,-0.0832570147406836,Entire home/apt,75,1,0,,,1,3
3618385,Dalston Luxury apt Huge terrace gym,1585082,Alan,,Hackney,51.54399258243649,-0.07426386560654447,Entire home/apt,160,2,16,2015-03-14,2.1,4,341
1055913,Dalston Shoreditch with private gym,1585082,Alan,,Hackney,51.54639932096834,-0.07565073385560873,Entire home/apt,99,1,77,2015-03-22,3.3,4,293
4135889,BEAUTIFUL 2BED CANAL SIDE SHORDICTH,3893720,Rachel,,Hackney,51.53540050180491,-0.07802391272144994,Entire home/apt,149,4,6,2015-03-30,1.0,1,355
1938552,One bed Flat; 1 min from station!!!,10028883,Ikram,,Ealing,51.51060217052175,-0.289107037675452,Entire home/apt,100,7,0,,,1,236
5227876,Amazing Penthouse in Camden Town,24331995,Paul,,Camden,51.53505512465004,-0.13955032148826277,Entire home/apt,250,2,6,2015-04-03,3.2,1,43
1912673,BRIGHT COSY ROOM IN HACKNEY ,7134018,Natalia,,Hackney,51.55040034458475,-0.06681779004231923,Private room,45,1,4,2014-11-19,0.2,1,365
5589692,Victorian garden flat with parking,15505714,Stephen,,Wandsworth,51.45175426467861,-0.2027222664245592,Entire home/apt,181,1,0,,,1,128
5860981,Spacious 1 Bed By Canal Clapton E5,30199963,Grace,,Hackney,51.56407973113262,-0.04843154793248118,Entire home/apt,60,2,0,,,1,164
2265730,Super-central Covent Garden 2Bed,9786697,Jeff,,Camden,51.5143888732997,-0.12666877523882958,Entire home/apt,320,2,6,2014-07-21,0.5,9,239
